Environment,Block,Type,Plot_no,Genotype,Trait1,Trait2
loc3,1,test,27,geno99,133.1,11.825
loc3,1,test,28,geno100,73.92,17.23333334
loc3,1,test,29,geno103,88,12.46666666
loc3,1,test,30,geno106,83.6,12.65
loc3,1,test,31,geno118,92.18,13.2
loc3,1,check,32,check1,77,17.325
loc3,1,check,33,check2,82.86666666,12.98
loc3,1,check,34,check3,88,9.9
loc3,1,check,35,check4,93.5,13.2
loc3,1,check,36,check5,94.38,19.8
loc3,2,test,37,geno4,94.05,9.625
loc3,2,test,38,geno6,70.125,14.85
loc3,2,test,39,geno15,97.35,9.68
loc3,2,test,40,geno22,86.46,9.625
loc3,2,test,41,geno26,89.1,13.2
loc3,2,test,42,geno29,96.25,16.225
loc3,2,test,43,geno31,111.65,11.88
loc3,2,test,44,geno36,113.575,8.066666666
loc3,2,test,45,geno50,97.075,11
loc3,2,test,46,geno55,95.92,13.475
loc3,2,test,47,geno59,79.475,10.78
loc3,2,test,48,geno60,91.3,16.5
loc3,2,test,49,geno62,80.08,12.98
loc3,2,test,50,geno63,87.12,13.56666666
loc3,2,test,51,geno67,88.22,11.275
loc3,2,test,52,geno68,85.525,12.32
loc3,2,test,53,geno72,95.15,14.3
loc3,2,test,54,geno77,96.25,9.075
loc3,2,test,55,geno84,91.52,10.78
loc3,2,test,56,geno85,91.575,10.78
loc3,2,test,57,geno86,91.66666666,11.22
loc3,2,test,58,geno90,93.5,13.475
loc3,2,test,59,geno91,100.54,11.275
loc3,2,test,60,geno97,81.4,12.98
loc3,2,test,61,geno98,83.16,13.56666666
loc3,2,test,62,geno104,105.38,11.275
loc3,2,test,63,geno108,89.46666666,13.64
loc3,2,test,64,geno110,89.375,13.475
loc3,2,test,65,geno112,111.65,14.025
loc3,2,test,66,geno113,88.88,10.12
loc3,2,test,67,geno116,89.54,11.55
loc3,2,check,68,check1,80.52,16.06
loc3,2,check,69,check2,81.4,14.025
loc3,2,check,70,check3,91.52,12.65
loc3,2,check,71,check4,86.625,11.73333334
loc3,2,check,72,check5,95.7,17.82
loc3,3,test,73,geno1,93.94,12.1
loc3,3,test,74,geno8,71.94,17.23333334
loc3,3,test,75,geno12,80.96,12.375
loc3,3,test,76,geno14,97.02,11
loc3,3,test,77,geno17,88,11.44
loc3,3,test,78,geno20,91.3,12.98
loc3,3,test,79,geno27,93.225,12.46666666
loc3,3,test,80,geno28,93.06,11.36666666
loc3,3,test,81,geno30,99.88,15.4
loc3,3,test,82,geno33,91.08,12.98
loc3,3,test,83,geno41,92.4,17.325
loc3,3,test,84,geno42,97.24,9.9
loc3,3,test,85,geno46,84.26,13.475
loc3,3,test,86,geno48,80.66666666,12.375
loc3,3,test,87,geno56,83.6,12.76
loc3,3,test,88,geno58,85.8,12.375
loc3,3,test,89,geno64,88.88,14.575
loc3,3,test,90,geno70,88,15.4
loc3,3,test,91,geno71,95.7,13.75
loc3,3,test,92,geno78,91.96,12.65
loc3,3,test,93,geno83,85.36,16.28
loc3,3,test,94,geno88,94.96666666,10.78
loc3,3,test,95,geno94,86.02,11.825
loc3,3,test,96,geno96,97.35,14.3
