LOC,BLOCK,Type,GEN,Trait1,Trait2
loc2,6,test,genoy11,146.52,17.6
loc1,6,test,genoy115,84.425,8.36
loc3,6,test,genoy115,78.76,9.9
loc2,6,test,genoy115,85.06666666,14.3
loc1,6,test,genoy118,86.9,7.26
loc3,6,test,genoy118,83.16,18.04
loc2,6,test,genoy118,91.85,21.175
loc1,6,test,genoy124,116.6,8.14
loc3,6,test,genoy124,116.38,14.3
loc2,6,test,genoy124,123.64,15.95
loc1,6,test,genoy20,88.44,7.7
loc3,6,test,genoy20,77.88,10.78
loc2,6,test,genoy20,96.36,15.18
loc1,6,test,genoy21,100.54,8.36
loc3,6,test,genoy21,80.08,12.375
loc2,6,test,genoy21,105.16,22
loc1,6,test,genoy22,100.32,9.46
loc3,6,test,genoy22,73.425,11.66
loc2,6,test,genoy22,102.52,15.4
loc1,6,test,genoy27,105.6,7.26
loc3,6,test,genoy27,96.8,11.73333334
loc2,6,test,genoy27,109.78,14.08
loc1,6,test,genoy3,136.4,8.58
loc3,6,test,genoy3,129.14,14.85
loc2,6,test,genoy3,147.18,15.84
loc1,6,test,genoy30,104.775,6.38
loc3,6,test,genoy30,101.64,12.65
loc2,6,test,genoy30,110.44,18.15
loc1,6,test,genoy35,110.7333334,5.94
loc3,6,test,genoy35,98.56,11.88
loc2,6,test,genoy35,108.02,15.95
loc1,6,test,genoy4,157.025,10.56
loc3,6,test,genoy4,124.85,14.575
loc2,6,test,genoy4,151.36,18.7
loc1,6,test,genoy40,113.74,7.04
loc3,6,test,genoy40,108.9,12.375
loc2,6,test,genoy40,104.94,17.23333334
loc1,6,test,genoy48,122.32,7.26
loc3,6,test,genoy48,115.28,12.375
loc2,6,test,genoy48,113.575,12.1
loc1,6,test,genoy49,124.575,7.92
loc3,6,test,genoy49,111.4666666,13.2
loc2,6,test,genoy49,120.34,16.28
loc2,6,test,genoy52,117.7,16.94
loc1,6,test,genoy53,131.34,6.16
loc3,6,test,genoy53,120.56,12.32
loc2,6,test,genoy53,115.5,18.425
loc1,6,test,genoy60,125.675,6.6
loc3,6,test,genoy60,113.08,10.12
loc2,6,test,genoy60,116.38,14.96
loc3,6,test,genoy68,114.18,11
loc3,6,test,genoy73,78.98,13.475
loc2,6,test,genoy73,90.2,21.26666666
loc1,6,test,genoy77,124.96,7.26
loc3,6,test,genoy77,110.22,10.56
loc2,6,test,genoy77,115.94,15.62
loc1,6,test,genoy81,138.82,7.26
loc3,6,test,genoy81,116.38,13.2
loc2,6,test,genoy81,117.04,11.44
loc1,6,test,genoy82,123.86,5.94
loc3,6,test,genoy82,122.76,10.45
loc2,6,test,genoy82,121.825,16.5
loc1,6,test,genoy83,106.425,7.92
loc3,6,test,genoy83,100.76,14.3
loc2,6,test,genoy83,106.26,22.66
loc1,6,test,genoy87,117.15,7.48
loc3,6,test,genoy87,113.74,13.42
loc2,6,test,genoy87,119.9,16.5
loc1,6,test,genoy91,116.6,6.38
loc3,6,test,genoy91,106.92,12.1
loc2,6,test,genoy91,116.16,16.13333334
loc1,6,test,genoy93,104.72,9.24
loc3,6,test,genoy93,107.14,12.65
loc2,6,test,genoy93,111.1,13.2
loc1,6,test,genoy94,118.14,7.92
loc3,6,test,genoy94,112.64,14.08
loc2,6,test,genoy94,111.76,14.85
loc1,6,test,genoy97,101.75,5.5
loc3,6,test,genoy97,100.76,13.2
loc1,6,check,PB1509,103.4,8.58
loc3,6,check,PB1509,81.4,12.54
loc2,6,check,PB1509,105.38,15.4
loc1,6,check,test2,108.46,6.16
loc3,6,check,test2,91.3,10.12
loc2,6,check,test2,110.44,14.85
loc1,6,check,test3,104.5,5.94
loc3,6,check,test3,90.93333334,14.025
loc2,6,check,test3,110,17.6
loc1,6,check,test4,101.2,7.7
loc3,6,check,test4,97.9,15.125
loc2,6,check,test4,100.76,14.3
