Pedigree,LOC,Trait
Genoy270,loc1,81.20750089
Genoy270,loc2,81.91572658
Genoy270,LOC3,82.73666923
Genoy270,LOC4,82.23804557
Genoy283,loc1,85.45833323
Genoy283,loc2,83.40221142
Genoy283,LOC3,87.28712703
Genoy283,LOC4,87.27892271
Genoy290,loc1,84.7597664
Genoy290,loc2,82.39654451
Genoy290,LOC3,85.12469519
Genoy290,LOC4,85.66024102
Genoy292,loc1,85.16457577
Genoy292,loc2,83.97229508
Genoy292,LOC3,85.90944124
Genoy292,LOC4,85.63917373
Genoy293,loc1,84.93856955
Genoy293,loc2,83.79089909
Genoy293,LOC3,85.94919183
Genoy293,LOC4,84.0084971
Genoy296,loc1,85.89483606
Genoy296,loc2,84.39289361
Genoy296,LOC3,86.3926968
Genoy296,LOC4,84.88866492
Genoy298,loc1,84.6651852
Genoy298,loc2,83.71997644
Genoy298,LOC3,86.30733386
Genoy298,LOC4,84.60884109
Genoy3,loc1,78.50666745
Genoy3,loc2,78.56835397
Genoy3,LOC3,78.80579618
Genoy3,LOC4,78.53089495
Genoy301,loc1,83.89183761
Genoy301,loc2,81.8552094
Genoy301,LOC3,84.65408494
Genoy301,LOC4,83.35891872
Genoy303,loc1,80.84849437
Genoy303,loc2,82.64453827
Genoy303,LOC3,84.13104418
Genoy303,LOC4,82.83249243
Genoy305,loc1,84.28939196
Genoy305,loc2,82.72824449
Genoy305,LOC3,85.487311
Genoy305,LOC4,82.71857191
Genoy308,loc1,88.93293
Genoy308,loc2,86.33258757
Genoy308,LOC3,88.14783214
Genoy308,LOC4,85.78385817
Genoy310,loc1,85.35426083
Genoy310,loc2,84.82749914
Genoy310,LOC3,87.04313982
Genoy310,LOC4,85.00787075
Genoy312,loc1,84.74946227
Genoy312,loc2,83.87908111
Genoy312,LOC3,86.58603057
Genoy312,LOC4,85.90483176
Genoy313,loc1,86.62561872
Genoy313,loc2,87.17897879
Genoy313,LOC3,87.5013871
Genoy313,LOC4,86.31600897
Genoy314,loc1,81.98793492
Genoy314,loc2,82.69868247
Genoy314,LOC3,84.28310585
Genoy314,LOC4,81.77698535
Genoy315,loc1,73.30859364
Genoy315,loc2,74.53790654
Genoy315,LOC3,79.40973041
Genoy315,LOC4,76.87308041
Genoy318,loc1,83.89373113
Genoy318,loc2,84.15829633
Genoy318,LOC4,84.05103054
Genoy319,loc1,85.92283214
Genoy319,loc2,85.85949758
Genoy319,LOC3,84.97319569
Genoy319,LOC4,85.42739296
Genoy32,loc1,80.3906814
Genoy32,loc2,80.99231442
Genoy32,LOC3,80.24701778
Genoy32,LOC4,81.10518397
Genoy321,loc1,82.73359923
Genoy321,loc2,84.42785099
Genoy321,LOC3,86.04777394
Genoy321,LOC4,84.18645656
Genoy324,loc1,85.01480236
Genoy324,loc2,85.42778295
Genoy324,LOC3,86.22704778
Genoy324,LOC4,85.03734177
Genoy329,loc1,86.66178828
Genoy329,loc2,85.79247933
Genoy329,LOC3,87.09552105
Genoy329,LOC4,86.6216216
Genoy331,loc1,86.43134727
Genoy331,loc2,86.54088646
Genoy331,LOC3,86.50154971
Genoy331,LOC4,87.11862618
Genoy334,loc1,84.54531873
Genoy334,loc2,84.53942158
Genoy334,LOC3,86.30864276
Genoy334,LOC4,84.89146599
Genoy335,loc1,83.09765844
Genoy335,loc2,83.6725574
Genoy335,LOC3,83.54431367
Genoy335,LOC4,81.40681416
Genoy338,loc1,81.22844638
Genoy338,loc2,81.67583917
Genoy338,LOC3,83.25118332
Genoy338,LOC4,82.28086978
Genoy339,loc1,81.46314945
Genoy339,loc2,82.32303873
Genoy339,LOC3,81.36001012
Genoy339,LOC4,81.89576573
Genoy341,loc1,84.7120451
Genoy341,loc2,84.80103801
Genoy341,LOC3,85.65988987
Genoy341,LOC4,85.09071195
Genoy35,loc1,79.77186504
Genoy35,loc2,79.90763521
Genoy35,LOC3,80.75743552
Genoy35,LOC4,80.3934722
Genoy360,loc1,80.3107339
Genoy360,loc2,81.15696212
Genoy360,LOC3,82.80992825
Genoy360,LOC4,81.35717429
Genoy37,loc1,80.10466908
Genoy37,loc2,78.51178723
Genoy37,LOC3,79.7073474
Genoy37,LOC4,79.4069779
Genoy38,loc1,82.92314931
